OEIS %N name templates (>= 25 sequences sharing one abstracted name pattern)
===============================================================================

Method:
  All %N (name) fields of the 398,534 .seq files were extracted and
  normalized: lowercased; integer literals and spelled-out number words
  replaced by {pK} slots; references to other sequences (Annnnnn)
  replaced by {AK} slots.
  Names that then coincide belong to one template: its members differ only
  by the constant parameters (or small arithmetic expressions built on
  them) in those slots.

Stats:
  sequences total ............ 398,534
  distinct raw templates ..... 245,149
  templates with >= 25 ....... 704
  sequences covered by them .. 66,238 (16.6%)

Placeholders: {pK} = K-th integer constant, {AK} = K-th sequence reference.
Templates longer than 160 chars are truncated with '...'.

|  # | count | template | example members |
|---:|------:|----------|-----------------|
|   1 |  6070 | coordination sequence gal.{p1}.{p2}.{p3} where gal.u.t.v denotes the coordination sequence for a vertex of type v in tiling number t in the galebach list of u-u... | A310001, A311215, A312429, A313643, A314859 |
|   2 |  2302 | number of reduced words of length n in coxeter group on {p1} generators s_i with relations (s_i)^{p2} = (s_i s_j)^{p3} = i | A162740, A166679, A168930, A169390, A170270 |
|   3 |  1214 | duplicate of {A1} | A000858, A052285, A077277, A088649, A125214 |
|   4 |   979 | primes congruent to {p1} mod {p2} | A045380, A142041, A142268, A142500, A142739 |
|   5 |   967 | numerators of continued fraction convergents to sqrt({p1}) | A001077, A041390, A041776, A042162, A042548 |
|   6 |   966 | continued fraction for sqrt({p1}) | A010121, A040197, A040390, A040583, A040776 |
|   7 |   966 | denominators of continued fraction convergents to sqrt({p1}) | A001076, A041393, A041779, A042165, A042551 |
|   8 |   960 | decimal expansion of {p1}/{p2} | A007450, A021235, A021450, A021659, A021875 |
|   9 |   912 | partial sums of {A1} | A001461, A120768, A173492, A194236, A299265 |
|  10 |   683 | positions of {p1} in {A1}; complement of {A2} | A020904, A189213, A284658, A285532, A287770 |
|  11 |   615 | a(n) = ({p1}*n + {p2})^{p3} | A016759, A017018, A017207, A017358, A017512 |
|  12 |   603 | first differences of {A1} | A005347, A108906, A159799, A217865, A282778 |
|  13 |   580 | divisors of {p1} | A018251, A018368, A018484, A018600, A018716 |
|  14 |   572 | a(n) = {A1}({A2}(n)) | A048244, A179840, A284910, A324386, A351233 |
|  15 |   539 | erroneous version of {A1} | A000017, A045617, A081744, A121836, A232987 |
|  16 |   516 | inverse of {p1}th cyclotomic polynomial | A007273, A014366, A014908, A015389, A015868 |
|  17 |   480 | decimal expansion of {p1}th root of {p2} | A010767, A011082, A011179, A011296, A011400 |
|  18 |   425 | decimal expansion of log_{p1} ({p2}) | A152675, A153615, A154193, A154802, A155532 |
|  19 |   418 | inverse permutation to {A1} | A054426, A162502, A254052, A304741, A361641 |
|  20 |   359 | number of nx{p1} {p2}..{p3} arrays with each element x equal to the number its horizontal and vertical neighbors equal to {p4},{p5},{p6},{p7},{p8} for x={p9},{p... | A195975, A196586, A196945, A197238, A197526 |
|  21 |   341 | numbers n such that string {p1},{p2} occurs in the base {p3} representation of n but not of n+{p4} | A044433, A044509, A044583, A044662, A044731 |
|  22 |   332 | positions of {p1} in {A1} | A057986, A190556, A191251, A287109, A287386 |
|  23 |   322 | numerator of hermite(n, {p1}/{p2}) | A158811, A159515, A159707, A160064, A160280 |
|  24 |   314 | partial sums of the number of active (on, black) cells in n-th stage of growth of {p1}-dimensional cellular automaton defined by "rule {p2}", based on the {p3}-... | A267829, A270620, A271287, A272541, A273306 |
|  25 |   307 | first differences of number of active (on, black) cells in n-th stage of growth of {p1}-dimensional cellular automaton defined by "rule {p2}", based on the {p3}... | A268194, A270625, A271276, A272505, A273303 |
|  26 |   298 | number of active (on, black) cells in n-th stage of growth of {p1}-dimensional cellular automaton defined by "rule {p2}", based on the {p3}-celled von neumann n... | A248860, A270329, A271195, A272423, A273270 |
|  27 |   289 | row sums of triangle {A1} | A015735, A104448, A130183, A134465, A177394 |
|  28 |   284 | number of active (on, black) cells at stage {p1}^n-{p2} of the {p3}-dimensional cellular automaton defined by "rule {p4}", based on the {p5}-celled von neumann... | A267268, A270466, A271254, A272420, A273247 |
|  29 |   284 | numbers whose base-{p1} representation has the same nonzero number of {p2}'s and {p3}'s | A038350, A039331, A039387, A039443, A039499 |
